Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 30-Aug-2023 at 13:49:06.
RAAW-GE Tower                                                                                      
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.77188E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.2054	 0.000000	 0.000000	 0.011321	 0.076030	 0.000000
 0.2124	 0.000000	 0.000000	 0.011789	 0.073750	 0.000000
 0.2194	 0.000000	 0.000000	 0.012241	 0.071182	 0.000000
 0.2263	 0.000000	 0.000000	 0.012676	 0.068334	 0.000000
 0.2333	 0.000000	 0.000000	 0.013093	 0.065211	 0.000000
 0.2403	 0.000000	 0.000000	 0.013490	 0.061823	 0.000000
 0.2472	 0.000000	 0.000000	 0.013864	 0.058177	 0.000000
 0.2507	 0.000000	 0.000000	 0.014043	 0.056260	 0.000000
 0.3203	 0.000000	 0.000000	 0.016090	 0.007132	 0.000000
 0.3797	 0.000000	 0.000000	 0.015004	-0.047668	 0.000000
 0.4248	 0.000000	 0.000000	 0.012170	-0.091378	 0.000000
