Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 23-Apr-2024 at 12:57:09.
IEA15 tower                                                                                        
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.24429E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000000	 0.000000	-0.000006	-0.003874	 0.000000
 0.0104	 0.000000	 0.000000	-0.000054	-0.011463	 0.000000
 0.0174	 0.000000	 0.000000	-0.000149	-0.018841	 0.000000
 0.0244	 0.000000	 0.000000	-0.000289	-0.026008	 0.000000
 0.0313	 0.000000	 0.000000	-0.000473	-0.032963	 0.000000
 0.0383	 0.000000	 0.000000	-0.000700	-0.039707	 0.000000
 0.0453	 0.000000	 0.000000	-0.000968	-0.046240	 0.000000
 0.0522	 0.000000	 0.000000	-0.001276	-0.052561	 0.000000
 0.0592	 0.000000	 0.000000	-0.001624	-0.058672	 0.000000
 0.0662	 0.000000	 0.000000	-0.002008	-0.064572	 0.000000
 0.0731	 0.000000	 0.000000	-0.002429	-0.070262	 0.000000
 0.0801	 0.000000	 0.000000	-0.002885	-0.075742	 0.000000
 0.0870	 0.000000	 0.000000	-0.003374	-0.081012	 0.000000
 0.0940	 0.000000	 0.000000	-0.003895	-0.086073	 0.000000
 0.1010	 0.000000	 0.000000	-0.004448	-0.090926	 0.000000
 0.1079	 0.000000	 0.000000	-0.005031	-0.095958	 0.000000
 0.1149	 0.000000	 0.000000	-0.005645	-0.100773	 0.000000
 0.1219	 0.000000	 0.000000	-0.006288	-0.105371	 0.000000
 0.1288	 0.000000	 0.000000	-0.006960	-0.109753	 0.000000
 0.1358	 0.000000	 0.000000	-0.007658	-0.113919	 0.000000
 0.1399	 0.000000	 0.000000	-0.008081	-0.116275	 0.000000
 0.1497	 0.000000	 0.000000	-0.009128	-0.121605	 0.000000
 0.1567	 0.000000	 0.000000	-0.009898	-0.125127	 0.000000
 0.1636	 0.000000	 0.000000	-0.010689	-0.128435	 0.000000
 0.1706	 0.000000	 0.000000	-0.011501	-0.131531	 0.000000
 0.1776	 0.000000	 0.000000	-0.012331	-0.134416	 0.000000
 0.1845	 0.000000	 0.000000	-0.013178	-0.137092	 0.000000
 0.1915	 0.000000	 0.000000	-0.014041	-0.139559	 0.000000
 0.1985	 0.000000	 0.000000	-0.014919	-0.141819	 0.000000
 0.2054	 0.000000	 0.000000	-0.015811	-0.144039	 0.000000
 0.2124	 0.000000	 0.000000	-0.016717	-0.146055	 0.000000
 0.2194	 0.000000	 0.000000	-0.017634	-0.147867	 0.000000
 0.2263	 0.000000	 0.000000	-0.018562	-0.149473	 0.000000
 0.2333	 0.000000	 0.000000	-0.019499	-0.150873	 0.000000
 0.2403	 0.000000	 0.000000	-0.020444	-0.152065	 0.000000
 0.2472	 0.000000	 0.000000	-0.021396	-0.153049	 0.000000
 0.2507	 0.000000	 0.000000	-0.021874	-0.153463	 0.000000
 0.3203	 0.000000	 0.000000	-0.031479	-0.150896	 0.000000
 0.3797	 0.000000	 0.000000	-0.039043	-0.131199	 0.000000
 0.4248	 0.000000	 0.000000	-0.043828	-0.104589	 0.000000
 0.4596	 0.000000	 0.000000	-0.046684	-0.078021	 0.000000
